Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
9,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
10,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
11,1618866832414,19/04/2021 21:13:52,1618866832159,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
12,1618866832414,19/04/2021 21:13:52,1618866832159,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,education-demo-q,Some graduate schooling
13,1618866832414,19/04/2021 21:13:52,1618866832159,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,education-demo-q-quantised,5
14,1618866832414,19/04/2021 21:13:52,1618866832159,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,age-demo-q,18-24
15,1618866832414,19/04/2021 21:13:52,1618866832159,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,age-demo-q-quantised,1
16,1618866832414,19/04/2021 21:13:52,1618866832159,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,colorblind-demo-q,Yes - I sometimes mistake one color for another
17,1618866832414,19/04/2021 21:13:52,1618866832160,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,2
18,1618866832414,19/04/2021 21:13:52,1618866832160,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,17247
1,1618939233183,20/04/2021 17:20:33,1618939232324,-4,20/04/2021 13:20:32,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x785,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1618939258401,20/04/2021 17:20:58,1618939257416,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1618939258541,20/04/2021 17:20:58,1618939257420,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
